The Fault in Our Stars	tt2582846	http://www.imdb.com/title/tt2582846/business	12000000	124853062	48002523	6 June 2014
2001: A Space Odyssey	tt0062622	http://www.imdb.com/title/tt0062622/business	12000000	56954992		
Let the Right One In	tt1139797	http://www.imdb.com/title/tt1139797/business	4000000	2122065	49295	12 December 2008
A Game of Thrones	tt4332582	http://www.imdb.com/title/tt4332582/business				29 October 2014
One for the Money	tt1598828	http://www.imdb.com/title/tt1598828/business	40000000	26414527	11515790	27 January 2012
Hearts in Atlantis	tt0252501	http://www.imdb.com/title/tt0252501/business	31000000	24185781	9021494	28 September 2001
Cheaper by the Dozen	tt0349205	http://www.imdb.com/title/tt0349205/business	40000000	138614544	27557647	25 December 2003
Relic	tt6114050	http://www.imdb.com/title/tt6114050/business				
The Lorax	tt1482459	http://www.imdb.com/title/tt1482459/business	70000000	213949505	70217070	2 March 2012
The French Lieutenant's Woman	tt0082416	http://www.imdb.com/title/tt0082416/business		22600000		16 October 1981
